x	y	z	Ex	Ey	Ez	Jx	Jy	Jz	U
-18	2	5	0.00077309791	0.00085780039	1.3572702e-05	7.7309791e-06	8.5780039e-06	1.3572702e-07	0.01307444
-18	4	5	0.00084153944	0.00086085725	6.981509e-06	8.4153944e-06	8.6085725e-06	6.981509e-08	0.011341605
-18	6	5	0.0008676906	0.0008148212	2.2669373e-07	8.676906e-06	8.148212e-06	2.2669373e-09	0.0096759162
-18	8	5	0.00084103186	0.0008084286	3.1916388e-06	8.4103186e-06	8.084286e-06	3.1916388e-08	0.0080531531
-18	10	5	0.0008372967	0.00080491352	8.0001988e-07	8.372967e-06	8.0491352e-06	8.0001988e-09	0.0064377673
-18	12	5	0.00083431594	0.00080708219	-7.4832507e-07	8.3431594e-06	8.0708219e-06	-7.4832507e-09	0.0048267884
-18	14	5	0.00083225143	0.00081322333	-4.2524734e-07	8.3225143e-06	8.1322333e-06	-4.2524734e-09	0.0032071607
-18	16	5	0.00083095457	0.00081741912	-7.5183234e-07	8.3095457e-06	8.1741912e-06	-7.5183234e-09	0.0015766131
-18	18	5	0.00083019365	0.00082395808	-1.3816772e-06	8.3019365e-06	8.2395808e-06	-1.3816772e-08	-6.4064659e-05
-18	20	5	0.00082946928	0.000829261	-2.5473335e-06	8.2946928e-06	8.29261e-06	-2.5473335e-08	-0.001716304
-16	-20	5	0.00077724225	0.00078424899	1.2173236e-05	7.7724225e-06	7.8424899e-06	1.2173236e-07	0.028596462
-16	-18	5	0.00077892787	0.00078069529	1.2565483e-05	7.7892787e-06	7.8069529e-06	1.2565483e-07	0.027029464
-16	-16	5	0.00078329073	0.00077775646	1.2215477e-05	7.8329073e-06	7.7775646e-06	1.2215477e-07	0.02547154
-16	-14	5	0.00078584011	0.0007750871	1.4830891e-05	7.8584011e-06	7.750871e-06	1.4830891e-07	0.023918112
-16	-12	5	0.00079514412	0.00076602978	1.407767e-05	7.9514412e-06	7.6602978e-06	1.407767e-07	0.022375111
-16	-10	5	0.00079134405	0.00075625901	1.0949794e-05	7.9134405e-06	7.5625901e-06	1.0949794e-07	0.020847858
-16	-8	5	0.00079246939	0.00074821218	1.5630766e-05	7.9246939e-06	7.4821218e-06	1.5630766e-07	0.01933738
-16	-6	5	0.00077387694	0.0007112772	1.310305e-05	7.7387694e-06	7.112772e-06	1.310305e-07	0.017878551
-16	-4	5	0.00068468949	0.00053280489	0.00011985752	6.8468949e-06	5.3280489e-06	1.1985752e-06	0.016525851
-16	-2	5	0.0004448655	0.00070289934	6.02559e-05	4.448655e-06	7.0289934e-06	6.02559e-07	0.01525789
-16	0	5	0.00034903092	0.00096371012	-0.0001126235	3.4903092e-06	9.6371012e-06	-1.126235e-06	0.013660571
-16	2	5	0.00076133388	0.0010334806	-2.361514e-05	7.6133388e-06	1.0334806e-05	-2.361514e-07	0.011579354
-16	4	5	0.00097297607	0.00085109176	-1.6031088e-05	9.7297607e-06	8.5109176e-06	-1.6031088e-07	0.0096126979
-16	6	5	0.00085533451	0.00080305833	2.4172846e-06	8.5533451e-06	8.0305833e-06	2.4172846e-08	0.0079558962
